iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,f1_trg,f1_val,f1_tst,elapsed
0,0.457418631721,0.454668771345,0.454055420548,0.0402022546419,0.0463323663489,0.046411403945,0.0772969957766,0.0885614702155,0.0887058450816,0.004701289
10,0.457418631721,0.454668771345,0.454055420548,0.0402022546419,0.0463323663489,0.046411403945,0.0772969957766,0.0885614702155,0.0887058450816,0.036410239
20,0.453677187215,0.450908632888,0.450104466651,0.0442639257294,0.0510567757978,0.0500580142549,0.0847753611684,0.0971532213548,0.0953433307024,0.065358378
30,0.446868190523,0.444058639393,0.442946495914,0.0581896551724,0.0633236634894,0.0653074755511,0.109979633401,0.119105152389,0.122607748561,0.091301365
40,0.446868190523,0.444058639393,0.442946495914,0.0581896551724,0.0633236634894,0.0653074755511,0.109979633401,0.119105152389,0.122607748561,0.11748101
50,0.446829808182,0.444053225811,0.442895744979,0.0582725464191,0.0633236634894,0.0653074755511,0.110127672907,0.119105152389,0.122607748561,0.143309936
60,0.446829808182,0.444053225811,0.442895744979,0.0582725464191,0.0633236634894,0.0653074755511,0.110127672907,0.119105152389,0.122607748561,0.170479446
70,0.423688718715,0.421011987448,0.419600630077,0.075099469496,0.080066307501,0.0827117520305,0.139707016191,0.148261837158,0.152786282915,0.197393526
80,0.423688718715,0.421011987448,0.419600630077,0.075099469496,0.080066307501,0.0827117520305,0.139707016191,0.148261837158,0.152786282915,0.223613563
90,0.384543083816,0.37980393103,0.380462699947,0.137931034483,0.146705346042,0.145367147356,0.242424242424,0.255872786411,0.253835021708,0.248966617
100,0.384543083816,0.37980393103,0.380462699947,0.137931034483,0.146705346042,0.145367147356,0.242424242424,0.255872786411,0.253835021708,0.274805214
110,0.384543083816,0.37980393103,0.380462699947,0.137931034483,0.146705346042,0.145367147356,0.242424242424,0.255872786411,0.253835021708,0.301469839
120,0.384543083816,0.37980393103,0.380462699947,0.137931034483,0.146705346042,0.145367147356,0.242424242424,0.255872786411,0.253835021708,0.327200634
130,0.329142861227,0.325335076889,0.325682255542,0.232675729443,0.242436800663,0.239681750373,0.377513280882,0.390260173449,0.386682711592,0.353638838
140,0.259244544336,0.255488072944,0.256333064393,0.330818965517,0.338582677165,0.340460798939,0.497165991903,0.505882352941,0.507975763571,0.378224174
150,0.259244544336,0.255488072944,0.256333064393,0.330818965517,0.338582677165,0.340460798939,0.497165991903,0.505882352941,0.507975763571,0.403901492
160,0.250353481065,0.246549482145,0.247647162036,0.349137931034,0.358060505595,0.359854135588,0.517571884984,0.527311565456,0.529254022428,0.428483986
170,0.240097000903,0.236207332242,0.23749081657,0.368783156499,0.374803149606,0.379247472236,0.538848180222,0.545246277205,0.549933902175,0.456689155
180,0.240097000903,0.236207332242,0.23749081657,0.368783156499,0.374803149606,0.379247472236,0.538848180222,0.545246277205,0.549933902175,0.48156747
190,0.298197042808,0.294257951028,0.294617153363,0.26699270557,0.274595938666,0.274324548318,0.42145894668,0.430875276369,0.430541103018,0.506934746
200,0.240097000903,0.236207332242,0.23749081657,0.368783156499,0.374803149606,0.379247472236,0.538848180222,0.545246277205,0.549933902175,0.531910909
