iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,f1_trg,f1_val,f1_tst,elapsed
0,0.448569515363,0.448242935273,0.448166057393,0.0906830238727,0.0899295482801,0.0908337477209,0.166286669707,0.165019011407,0.166540039508,0.002380795
10,0.448569503579,0.448237450621,0.448166057393,0.0906830238727,0.0899295482801,0.0908337477209,0.166286669707,0.165019011407,0.166540039508,0.027122863
20,0.44681198947,0.446277142701,0.446247584017,0.0925066312997,0.0910899295483,0.0924912978618,0.169347496206,0.166970525676,0.169321802458,0.05133245
30,0.44681198947,0.446277142701,0.446247584017,0.0925066312997,0.0910899295483,0.0924912978618,0.169347496206,0.166970525676,0.169321802458,0.075205826
40,0.44681198947,0.446277142701,0.446247584017,0.0925066312997,0.0910899295483,0.0924912978618,0.169347496206,0.166970525676,0.169321802458,0.099263523
50,0.44457036323,0.443760784187,0.443822854517,0.0943302387268,0.0940737670949,0.0946461130449,0.172398121497,0.17196969697,0.172925499697,0.123770068
60,0.445755090046,0.445067907671,0.44511350392,0.0932526525199,0.092416079569,0.0938173379745,0.170596709379,0.169195751138,0.171541142597,0.147998998
70,0.445755090046,0.445067907671,0.44511350392,0.0932526525199,0.092416079569,0.0938173379745,0.170596709379,0.169195751138,0.171541142597,0.173580459
80,0.0228880541624,0.02500217382,0.0225527500213,0.95424403183,0.950020721094,0.954914636168,0.976586359009,0.974369872912,0.97693742581,0.200592674
90,0.0228880541624,0.02500217382,0.0225527500213,0.95424403183,0.950020721094,0.954914636168,0.976586359009,0.974369872912,0.97693742581,0.227060461
100,0.0228929976361,0.0250072535149,0.0225573645746,0.95424403183,0.950020721094,0.954914636168,0.976586359009,0.974369872912,0.97693742581,0.253382328
110,0.0228929976361,0.0250072535149,0.0225573645746,0.95424403183,0.950020721094,0.954914636168,0.976586359009,0.974369872912,0.97693742581,0.279566525
120,0.0228895555695,0.02500233814,0.0225531714962,0.95424403183,0.950020721094,0.954914636168,0.976586359009,0.974369872912,0.97693742581,0.306647005
130,0.0228895555695,0.02500233814,0.0225531714962,0.95424403183,0.950020721094,0.954914636168,0.976586359009,0.974369872912,0.97693742581,0.336106571
140,0.0228895555695,0.02500233814,0.0225531714962,0.95424403183,0.950020721094,0.954914636168,0.976586359009,0.974369872912,0.97693742581,0.363112811
150,0.0228895555695,0.02500233814,0.0225531714962,0.95424403183,0.950020721094,0.954914636168,0.976586359009,0.974369872912,0.97693742581,0.390823618
160,0.0228895555695,0.02500233814,0.0225531714962,0.95424403183,0.950020721094,0.954914636168,0.976586359009,0.974369872912,0.97693742581,0.416052365
170,0.0228893759762,0.0250021680286,0.0225530148971,0.95424403183,0.950020721094,0.954914636168,0.976586359009,0.974369872912,0.97693742581,0.441452068
180,1.13918912786e-05,1.25285756388e-05,1.03329810044e-05,1.0,1.0,1.0,1.0,1.0,1.0,0.468103321
190,1.13918912786e-05,1.25285756388e-05,1.03329810044e-05,1.0,1.0,1.0,1.0,1.0,1.0,0.495049827
200,9.10124268234e-06,9.91004037668e-06,8.14713181759e-06,1.0,1.0,1.0,1.0,1.0,1.0,0.520202631
