0,28.0,0.115089311,1000
10,30.0,0.215778733,2100
20,32.0,0.301315866,3200
30,33.0,0.383259118,4300
40,32.0,0.466444675,5400
50,34.0,0.548748515,6500
60,33.0,0.63147166,7600
70,33.0,0.714439325,8700
80,33.0,0.795928663,9800
90,36.0,0.878171496,10900
100,33.0,0.961507805,12000
110,33.0,1.040004322,13100
120,38.0,1.118066897,14200
130,34.0,1.194614191,15300
140,33.0,1.275722896,16400
150,41.0,1.361866161,17500
160,40.0,1.448652772,18600
170,33.0,1.536919713,19700
180,34.0,1.620036677,20800
190,38.0,1.701186427,21900
200,41.0,1.783496298,23000
210,34.0,1.867860089,24100
220,36.0,1.951766798,25200
230,36.0,2.03685748,26300
240,33.0,2.132354012,27400
250,38.0,2.222391054,28500
260,38.0,2.325157881,29600
270,38.0,2.418977426,30700
280,34.0,2.503149405,31800
290,38.0,2.580611311,32900
300,35.0,2.65951056,34000
310,35.0,2.738595554,35100
320,34.0,2.824744703,36200
330,34.0,2.902935426,37300
340,36.0,2.979910116,38400
350,36.0,3.056583854,39500
360,36.0,3.141965604,40600
370,37.0,3.227201829,41700
380,36.0,3.309390005,42800
390,36.0,3.393639091,43900
400,35.0,3.47191178,45000
410,36.0,3.557698321,46100
420,43.0,3.64892251,47200
430,37.0,3.734959032,48300
440,37.0,3.812446435,49400
450,36.0,3.891865367,50500
460,37.0,3.965641389,51600
470,36.0,4.041347515,52700
480,36.0,4.119163005,53800
490,37.0,4.193717539,54900
500,37.0,4.268824783,56000
510,38.0,4.343558802,57100
520,37.0,4.421645885,58200
530,36.0,4.500836721,59300
540,36.0,4.589025627,60400
550,36.0,4.669047437,61500
560,37.0,4.745855754,62600
570,37.0,4.826559235,63700
580,37.0,4.907510106,64800
590,37.0,4.988917168,65900
600,36.0,5.061826878,67000
610,37.0,5.139767196,68100
620,36.0,5.216143946,69200
630,37.0,5.290912225,70300
640,37.0,5.367172628,71400
650,37.0,5.442206428,72500
660,36.0,5.525454799,73600
670,37.0,5.604072556,74700
680,37.0,5.678546178,75800
690,36.0,5.757647756,76900
700,37.0,5.835128198,78000
710,37.0,5.919357371,79100
720,36.0,6.00419609,80200
730,38.0,6.084847685,81300
740,37.0,6.168907789,82400
750,37.0,6.243144053,83500
760,37.0,6.317988624,84600
770,37.0,6.394262477,85700
780,37.0,6.47109731,86800
790,37.0,6.550264882,87900
800,37.0,6.633392001,89000
810,37.0,6.712775699,90100
820,37.0,6.790390964,91200
830,36.0,6.869886645,92300
840,37.0,6.951353262,93400
850,37.0,7.033009052,94500
860,36.0,7.113375298,95600
870,37.0,7.194102533,96700
880,37.0,7.272388004,97800
890,36.0,7.353400611,98900
900,37.0,7.431561645,100000
910,36.0,7.510014668,101100
920,50.0,7.596178623,102200
930,46.0,7.675314249,103300
940,47.0,7.757220379,104400
950,36.0,7.837798377,105500
960,37.0,7.913010145,106600
970,37.0,7.987851198,107700
980,37.0,8.06488851,108800
990,37.0,8.138959924,109900
1000,36.0,8.212618739,111000
1010,36.0,8.29211551,112100
1020,36.0,8.369888559,113200
1030,37.0,8.445293998,114300
1040,41.0,8.522274424,115400
1050,38.0,8.598745394,116500
1060,51.0,8.677684203,117600
1070,46.0,8.755445973,118700
1080,46.0,8.835521619,119800
1090,38.0,8.914202798,120900
1100,48.0,8.992640434,122000
1110,37.0,9.080011034,123100
1120,37.0,9.155345526,124200
1130,37.0,9.23109602,125300
1140,37.0,9.306368616,126400
1150,37.0,9.380058393,127500
1160,36.0,9.456569401,128600
1170,36.0,9.530178554,129700
1180,36.0,9.605669035,130800
1190,37.0,9.682086733,131900
1200,37.0,9.758404801,133000
1210,37.0,9.834832897,134100
1220,37.0,9.910578596,135200
1230,38.0,9.98603426,136300
1240,38.0,10.063321459,137400
1250,39.0,10.142177159,138500
1260,37.0,10.222397518,139600
1270,38.0,10.301123449,140700
1280,38.0,10.383460578,141800
1290,38.0,10.465365879,142900
1300,38.0,10.544382795,144000
1310,41.0,10.624091781,145100
1320,40.0,10.704566635,146200
1330,40.0,10.788195433,147300
1340,47.0,10.86866575,148400
1350,47.0,10.950389768,149500
1360,46.0,11.027028002,150600
1370,40.0,11.103447985,151700
1380,43.0,11.179485163,152800
1390,45.0,11.26040841,153900
1400,46.0,11.337377191,155000
1410,50.0,11.427144926,156100
1420,46.0,11.504536126,157200
1430,48.0,11.580279156,158300
1440,40.0,11.657528602,159400
1450,45.0,11.732943442,160500
1460,46.0,11.817285434,161600
1470,46.0,11.894112816,162700
1480,45.0,11.977687513,163800
1490,40.0,12.060661071,164900
1500,42.0,12.138577027,166000
1510,46.0,12.217260796,167100
1520,40.0,12.291677107,168200
1530,41.0,12.368290602,169300
1540,47.0,12.442479898,170400
1550,47.0,12.518015552,171500
1560,52.0,12.594700535,172600
1570,41.0,12.671872803,173700
1580,47.0,12.748985525,174800
1590,47.0,12.827098623,175900
1600,47.0,12.905881174,177000
1610,47.0,12.984862891,178100
1620,42.0,13.063949603,179200
1630,42.0,13.145045513,180300
1640,40.0,13.227101893,181400
1650,46.0,13.308599657,182500
1660,40.0,13.389833031,183600
1670,41.0,13.466120188,184700
1680,43.0,13.544203285,185800
1690,41.0,13.623199248,186900
1700,42.0,13.699090101,188000
1710,42.0,13.777450801,189100
1720,46.0,13.856244736,190200
1730,41.0,13.936300319,191300
1740,44.0,14.016833169,192400
1750,42.0,14.096396064,193500
1760,41.0,14.178094505,194600
1770,42.0,14.260623351,195700
1780,42.0,14.340648718,196800
1790,42.0,14.420646705,197900
1800,42.0,14.503482968,199000
